  Tick   ID   Location   Memory   Time Left     Status  Wasted
    22   12         -1       56           0   FINISHED       -
    22   13         -1       64           0   FINISHED       -
    22   14         -1       21           0   FINISHED       -
    22   15         -1       30           0   FINISHED       -
    22   16          7       55           3    RUNNING       9
    22   17          0       32           1      READY       0
    22   18         -1       32           0   FINISHED       -
    22   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    23    0          4       51           4    RUNNING      13
    23    1          6       17           1      READY      15
    23    2         -1       60           0   FINISHED       -
    23    3         -1       23           0   FINISHED       -
    23    4          5       25           4    RUNNING      23
    23    5          8       40           1    RUNNING       8
    23    6         -1       22           0   FINISHED       -
    23    7         -1       47           0   FINISHED       -
    23    8         -1       43           0   FINISHED       -
    23    9         -1       17           0   FINISHED       -
    23   10         -1       49           4    WAITING       -
    23   11         -1       16           0   FINISHED       -
    23   12         -1       56           0   FINISHED       -
    23   13         -1       64           0   FINISHED       -
    23   14         -1       21           0   FINISHED       -
    23   15         -1       30           0   FINISHED       -
    23   16          7       55           3      READY       9
    23   17         -1       32           0   FINISHED       -
    23   18         -1       32           0   FINISHED       -
    23   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    24    0          4       51           3    RUNNING      13
    24    1         -1       17           0   FINISHED       -
    24    2         -1       60           0   FINISHED       -
    24    3         -1       23           0   FINISHED       -
    24    4          5       25           3    RUNNING      23
    24    5          8       40           1      READY       8
    24    6         -1       22           0   FINISHED       -
    24    7         -1       47           0   FINISHED       -
    24    8         -1       43           0   FINISHED       -
    24    9         -1       17           0   FINISHED       -
    24   10         -1       49           4    WAITING       -
    24   11         -1       16           0   FINISHED       -
    24   12         -1       56           0   FINISHED       -
    24   13         -1       64           0   FINISHED       -
    24   14         -1       21           0   FINISHED       -
    24   15         -1       30           0   FINISHED       -
    24   16          7       55           2    RUNNING       9
    24   17         -1       32           0   FINISHED       -
    24   18         -1       32           0   FINISHED       -
    24   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    25    0          4       51           2    RUNNING      13
    25    1         -1       17           0   FINISHED       -
    25    2         -1       60           0   FINISHED       -
    25    3         -1       23           0   FINISHED       -
    25    4          5       25           2    RUNNING      23
    25    5         -1       40           0   FINISHED       -
    25    6         -1       22           0   FINISHED       -
    25    7         -1       47           0   FINISHED       -
    25    8         -1       43           0   FINISHED       -
    25    9         -1       17           0   FINISHED       -
    25   10         -1       49           4    WAITING       -
    25   11         -1       16           0   FINISHED       -
    25   12         -1       56           0   FINISHED       -
    25   13         -1       64           0   FINISHED       -
    25   14         -1       21           0   FINISHED       -
    25   15         -1       30           0   FINISHED       -
    25   16          7       55           1    RUNNING       9
    25   17         -1       32           0   FINISHED       -
    25   18         -1       32           0   FINISHED       -
    25   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    26    0          4       51           1    RUNNING      13
    26    1         -1       17           0   FINISHED       -
    26    2         -1       60           0   FINISHED       -
    26    3         -1       23           0   FINISHED       -
    26    4          5       25           1    RUNNING      23
    26    5         -1       40           0   FINISHED       -
    26    6         -1       22           0   FINISHED       -
    26    7         -1       47           0   FINISHED       -
    26    8         -1       43           0   FINISHED       -
    26    9         -1       17           0   FINISHED       -
    26   10          7       49           4      READY      15
    26   11         -1       16           0   FINISHED       -
    26   12         -1       56           0   FINISHED       -
    26   13         -1       64           0   FINISHED       -
    26   14         -1       21           0   FINISHED       -
    26   15         -1       30           0   FINISHED       -
    26   16         -1       55           0   FINISHED       -
    26   17         -1       32           0   FINISHED       -
    26   18         -1       32           0   FINISHED       -
    26   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    27    0         -1       51           0   FINISHED       -
    27    1         -1       17           0   FINISHED       -
    27    2         -1       60           0   FINISHED       -
    27    3         -1       23           0   FINISHED       -
    27    4         -1       25           0   FINISHED       -
    27    5         -1       40           0   FINISHED       -
    27    6         -1       22           0   FINISHED       -
    27    7         -1       47           0   FINISHED       -
    27    8         -1       43           0   FINISHED       -
    27    9         -1       17           0   FINISHED       -
    27   10          7       49           3    RUNNING      15
    27   11         -1       16           0   FINISHED       -
    27   12         -1       56           0   FINISHED       -
    27   13         -1       64           0   FINISHED       -
    27   14         -1       21           0   FINISHED       -
    27   15         -1       30           0   FINISHED       -
    27   16         -1       55           0   FINISHED       -
    27   17         -1       32           0   FINISHED       -
    27   18         -1       32           0   FINISHED       -
    27   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    28    0         -1       51           0   FINISHED       -
    28    1         -1       17           0   FINISHED       -
    28    2         -1       60           0   FINISHED       -
    28    3         -1       23           0   FINISHED       -
    28    4         -1       25           0   FINISHED       -
    28    5         -1       40           0   FINISHED       -
    28    6         -1       22           0   FINISHED       -
    28    7         -1       47           0   FINISHED       -
    28    8         -1       43           0   FINISHED       -
    28    9         -1       17           0   FINISHED       -
    28   10          7       49           2    RUNNING      15
    28   11         -1       16           0   FINISHED       -
    28   12         -1       56           0   FINISHED       -
    28   13         -1       64           0   FINISHED       -
    28   14         -1       21           0   FINISHED       -
    28   15         -1       30           0   FINISHED       -
    28   16         -1       55           0   FINISHED       -
    28   17         -1       32           0   FINISHED       -
    28   18         -1       32           0   FINISHED       -
    28   19         -1       33           0   FINISHED       -

  Tick   ID   Location   Memory   Time Left     Status  Wasted
    29    0         -1       51           0   FINISHED       -
