  Tick   ID   Location   Memory   Time Left     Status
    14    4         -1       29           0   FINISHED
    14    5         -1       26           0   FINISHED
    14    6         -1       43           0   FINISHED
    14    7          4       58           4    RUNNING
    14    8          8       40           4      READY
    14    9          1       47           1      READY
    14   10          9       32           1      READY
    14   11          7       52           4      READY
    14   12         -1       62           7    WAITING
    14   13          6       32           7    RUNNING
    14   14          5       40           2      READY
    14   15         -1       61           9    WAITING
    14   16         -1       40           5    WAITING
    14   17         -1       55           8    WAITING
    14   18         -1       34          10    WAITING
    14   19         -1       28           5    WAITING

  Tick   ID   Location   Memory   Time Left     Status
    15    0          0       23           4      READY
    15    1         -1       19           0   FINISHED
    15    2         -1       24           0   FINISHED
    15    3         -1       48           0   FINISHED
    15    4         -1       29           0   FINISHED
    15    5         -1       26           0   FINISHED
    15    6         -1       43           0   FINISHED
    15    7          4       58           4      READY
    15    8          8       40           3    RUNNING
    15    9          1       47           1      READY
    15   10         -1       32           0   FINISHED
    15   11          7       52           3    RUNNING
    15   12         -1       62           7    WAITING
    15   13          6       32           6    RUNNING
    15   14          5       40           2      READY
    15   15         -1       61           9    WAITING
    15   16         -1       40           5    WAITING
    15   17         -1       55           8    WAITING
    15   18         -1       34          10    WAITING
    15   19          9       28           5      READY

  Tick   ID   Location   Memory   Time Left     Status
    16    0          0       23           3    RUNNING
    16    1         -1       19           0   FINISHED
    16    2         -1       24           0   FINISHED
    16    3         -1       48           0   FINISHED
    16    4         -1       29           0   FINISHED
    16    5         -1       26           0   FINISHED
    16    6         -1       43           0   FINISHED
    16    7          4       58           3    RUNNING
    16    8          8       40           3      READY
    16    9         -1       47           0   FINISHED
    16   10         -1       32           0   FINISHED
    16   11          7       52           3      READY
    16   12         -1       62           7    WAITING
    16   13          6       32           6      READY
    16   14          5       40           1    RUNNING
    16   15         -1       61           9    WAITING
    16   16          1       40           5      READY
    16   17         -1       55           8    WAITING
    16   18         -1       34          10    WAITING
    16   19          9       28           5      READY

  Tick   ID   Location   Memory   Time Left     Status
    17    0          0       23           3      READY
    17    1         -1       19           0   FINISHED
    17    2         -1       24           0   FINISHED
    17    3         -1       48           0   FINISHED
    17    4         -1       29           0   FINISHED
    17    5         -1       26           0   FINISHED
    17    6         -1       43           0   FINISHED
    17    7          4       58           2    RUNNING
    17    8          8       40           3      READY
    17    9         -1       47           0   FINISHED
    17   10         -1       32           0   FINISHED
    17   11          7       52           2    RUNNING
    17   12         -1       62           7    WAITING
    17   13          6       32           5    RUNNING
    17   14         -1       40           0   FINISHED
    17   15         -1       61           9    WAITING
    17   16          1       40           5      READY
    17   17         -1       55           8    WAITING
    17   18          5       34          10      READY
    17   19          9       28           5      READY

  Tick   ID   Location   Memory   Time Left     Status
    18    0          0       23           2    RUNNING
    18    1         -1       19           0   FINISHED
    18    2         -1       24           0   FINISHED
    18    3         -1       48           0   FINISHED
    18    4         -1       29           0   FINISHED
    18    5         -1       26           0   FINISHED
    18    6         -1       43           0   FINISHED
    18    7          4       58           2      READY
    18    8          8       40           2    RUNNING
    18    9         -1       47           0   FINISHED
    18   10         -1       32           0   FINISHED
    18   11          7       52           2      READY
    18   12         -1       62           7    WAITING
    18   13          6       32           5      READY
    18   14         -1       40           0   FINISHED
    18   15         -1       61           9    WAITING
    18   16          1       40           4    RUNNING
    18   17         -1       55           8    WAITING
    18   18          5       34          10      READY
    18   19          9       28           4    RUNNING

  Tick   ID   Location   Memory   Time Left     Status
    19    0          0       23           2      READY
    19    1         -1       19           0   FINISHED
    19    2         -1       24           0   FINISHED
    19    3         -1       48           0   FINISHED
    19    4         -1       29           0   FINISHED
    19    5         -1       26           0   FINISHED
    19    6         -1       43           0   FINISHED
    19    7          4       58           1    RUNNING
    19    8          8       40           2      READY
    19    9         -1       47           0   FINISHED
    19   10         -1       32           0   FINISHED
    19   11          7       52           1    RUNNING
    19   12         -1       62           7    WAITING
    19   13          6       32           4    RUNNING
    19   14         -1       40           0   FINISHED
    19   15         -1       61           9    WAITING
    19   16          1       40           4      READY
    19   17         -1       55           8    WAITING
    19   18          5       34           9    RUNNING
    19   19          9       28           4      READY

  Tick   ID   Location   Memory   Time Left     Status
    20    0          0       23           2      READY
    20    1         -1       19           0   FINISHED
    20    2         -1       24           0   FINISHED
    20    3         -1       48           0   FINISHED
    20    4         -1       29           0   FINISHED
    20    5         -1       26           0   FINISHED
    20    6         -1       43           0   FINISHED
    20    7          4       58           1      READY
    20    8          8       40           1    RUNNING
